id,no_mask,yes_mask 
08089,0.153,0.847
08091,0.209,0.79
08093,0.142,0.859
08095,0.377,0.623
08097,0.049,0.951
08099,0.33,0.67
08101,0.136,0.864
08103,0.277,0.723
08105,0.315,0.686
08107,0.136,0.864
08109,0.325,0.675
08111,0.167,0.833
08113,0.175,0.825
08115,0.365,0.635
08117,0.065,0.935
08119,0.258,0.742
08121,0.386,0.613
08123,0.219,0.781
08125,0.455,0.545
09001,0.106,0.894
09003,0.103,0.897
09005,0.089,0.91
09007,0.065,0.935
09009,0.09,0.91
09011,0.112,0.889
09013,0.043,0.957
09015,0.145,0.855
10001,0.138,0.862
10003,0.081,0.919
10005,0.041,0.959
11001,0.094,0.907
12001,0.078,0.921
12003,0.343,0.657
12005,0.25,0.75
12007,0.446,0.554
12009,0.237,0.764
12011,0.092,0.908
12013,0.227,0.774
12015,0.201,0.798
12017,0.213,0.787
12019,0.272,0.729
12021,0.13,0.87
12023,0.361,0.639
12027,0.143,0.857
12029,0.285,0.715
12031,0.177,0.823
12033,0.166,0.834
12035,0.242,0.759
12037,0.36,0.64
12039,0.197,0.802
12041,0.236,0.764
12043,0.227,0.773
12045,0.291,0.709
12047,0.407,0.592
12049,0.334,0.666
12051,0.2,0.8
12053,0.221,0.779
12055,0.226,0.773
12057,0.123,0.877
12059,0.328,0.673
12061,0.201,0.8
12063,0.301,0.7
12065,0.135,0.865
12067,0.403,0.597
12069,0.183,0.817
12071,0.175,0.824
12073,0.144,0.856
12075,0.221,0.779
12077,0.25,0.75
12079,0.397,0.604
12081,0.173,0.827
12083,0.254,0.746
12085,0.111,0.888
12086,0.115,0.884
12087,0.022,0.978
12089,0.307,0.693
12091,0.321,0.679
12093,0.114,0.886
12095,0.112,0.888
12097,0.105,0.896
12099,0.1,0.9
12101,0.111,0.888
12103,0.118,0.883
12105,0.198,0.802
12107,0.232,0.767
12109,0.215,0.784
12111,0.179,0.821
12113,0.281,0.718
12115,0.121,0.879
12117,0.142,0.858
12119,0.137,0.863
12121,0.404,0.596
12123,0.379,0.621
12125,0.26,0.74
12127,0.19,0.81
12129,0.296,0.704
12131,0.244,0.756
12133,0.285,0.715
13001,0.432,0.568
13003,0.338,0.662
13005,0.39,0.609
13007,0.129,0.87
13009,0.216,0.784
13011,0.364,0.637
13013,0.241,0.758
13015,0.388,0.613
13017,0.316,0.685
13019,0.327,0.674
13021,0.313,0.688
13023,0.237,0.764
13025,0.326,0.674
13027,0.381,0.62
13029,0.167,0.833
13031,0.265,0.734
13033,0.301,0.7
13035,0.306,0.693
13037,0.091,0.909
13039,0.431,0.569
13043,0.259,0.741
13045,0.376,0.625
13047,0.409,0.592
13049,0.309,0.691
13051,0.219,0.782
13053,0.241,0.759
13055,0.405,0.594
13057,0.203,0.797
13059,0.171,0.829
13061,0.214,0.785
13063,0.217,0.783
13065,0.252,0.748
13067,0.204,0.797
13069,0.373,0.626
13071,0.373,0.627
13073,0.22,0.781
13075,0.355,0.644
13077,0.341,0.659
13079,0.339,0.66
13081,0.202,0.798
13083,0.48,0.519
13085,0.267,0.733
13087,0.304,0.696
13089,0.139,0.86
13091,0.32,0.679
13093,0.169,0.831
13095,0.115,0.885
13097,0.21,0.789
13099,0.263,0.738
13101,0.352,0.648
13103,0.253,0.747
13105,0.39,0.61
13107,0.248,0.752
13109,0.337,0.662
13111,0.288,0.712
13113,0.277,0.723
13115,0.456,0.543
13117,0.166,0.834
