id,no_mask,yes_mask 
26069,0.283,0.717
26071,0.24,0.76
26073,0.265,0.735
26075,0.323,0.677
26077,0.141,0.86
26079,0.125,0.874
26081,0.143,0.856
26083,0.206,0.795
26085,0.247,0.752
26087,0.245,0.755
26089,0.133,0.866
26091,0.128,0.872
26093,0.115,0.885
26095,0.146,0.854
26097,0.145,0.855
26099,0.167,0.833
26101,0.172,0.828
26103,0.171,0.829
26105,0.299,0.701
26107,0.282,0.718
26109,0.2,0.8
26111,0.159,0.84
26113,0.143,0.857
26115,0.155,0.846
26117,0.332,0.668
26119,0.241,0.76
26121,0.229,0.771
26123,0.247,0.754
26125,0.104,0.896
26127,0.221,0.779
26129,0.284,0.717
26131,0.234,0.766
26133,0.232,0.769
26135,0.226,0.774
26137,0.225,0.774
26139,0.219,0.782
26141,0.203,0.798
26143,0.146,0.854
26145,0.186,0.813
26147,0.166,0.834
26149,0.324,0.677
26151,0.267,0.732
26153,0.202,0.798
26155,0.227,0.772
26157,0.219,0.782
26159,0.23,0.77
26161,0.087,0.913
26163,0.153,0.846
26165,0.169,0.83
27001,0.377,0.622
27003,0.264,0.737
27005,0.507,0.492
27007,0.474,0.525
27009,0.432,0.567
27011,0.562,0.438
27013,0.289,0.711
27015,0.413,0.587
27017,0.202,0.798
27019,0.335,0.664
27021,0.339,0.661
27023,0.458,0.542
27025,0.333,0.667
27027,0.351,0.649
27029,0.478,0.523
27031,0.242,0.757
27033,0.523,0.478
27035,0.34,0.66
27037,0.277,0.724
27039,0.202,0.798
27041,0.425,0.575
27043,0.399,0.601
27045,0.227,0.773
27047,0.426,0.574
27049,0.207,0.793
27051,0.44,0.561
27053,0.161,0.839
27055,0.238,0.761
27057,0.392,0.607
27059,0.418,0.582
27061,0.455,0.545
27063,0.489,0.511
27065,0.508,0.492
27067,0.398,0.602
27069,0.457,0.543
27071,0.429,0.571
27073,0.528,0.472
27075,0.195,0.805
27077,0.438,0.562
27079,0.37,0.631
27081,0.391,0.609
27083,0.451,0.549
27085,0.43,0.569
27087,0.432,0.567
27089,0.451,0.549
27091,0.429,0.571
27093,0.31,0.69
27095,0.505,0.495
27097,0.387,0.613
27099,0.291,0.71
27101,0.426,0.573
27103,0.312,0.688
27105,0.502,0.499
27107,0.385,0.614
27109,0.181,0.818
27111,0.538,0.461
27113,0.489,0.511
27115,0.395,0.606
27117,0.402,0.598
27119,0.509,0.491
27121,0.389,0.611
27123,0.176,0.823
27125,0.53,0.47
27127,0.452,0.548
27129,0.379,0.621
27131,0.244,0.755
27133,0.425,0.575
27135,0.439,0.561
27137,0.245,0.754
27139,0.198,0.801
27141,0.414,0.585
27143,0.387,0.613
27145,0.411,0.589
27147,0.28,0.719
27149,0.412,0.589
27151,0.435,0.565
27153,0.441,0.559
27155,0.495,0.505
27157,0.255,0.745
27159,0.429,0.57
27161,0.239,0.761
27163,0.235,0.765
27165,0.427,0.573
27167,0.553,0.448
27169,0.237,0.763
27171,0.354,0.646
27173,0.472,0.528
28001,0.356,0.644
28003,0.35,0.65
28005,0.324,0.677
28007,0.261,0.74
28009,0.278,0.722
28011,0.296,0.705
28013,0.327,0.673
28015,0.343,0.657
28017,0.292,0.707
28019,0.193,0.807
28021,0.187,0.812
28023,0.198,0.802
28025,0.209,0.791
28027,0.212,0.789
28029,0.291,0.709
28031,0.3,0.699
28033,0.221,0.779
28035,0.205,0.794
28037,0.353,0.647
28039,0.227,0.774
28041,0.197,0.803
28043,0.324,0.675
28045,0.242,0.757
28047,0.306,0.694
28049,0.23,0.771
28051,0.229,0.771
28053,0.286,0.714
28055,0.227,0.774
28057,0.345,0.655
28059,0.289,0.712
28061,0.3,0.7
28063,0.296,0.705
28065,0.374,0.626
28067,0.266,0.734
28069,0.135,0.864
28071,0.239,0.76
28073,0.212,0.787
28075,0.159,0.84
28077,0.394,0.606
28079,0.21,0.791
28081,0.316,0.685
28083,0.334,0.666
28085,0.342,0.658
28087,0.218,0.783
28089,0.256,0.744
28091,0.336,0.663
28093,0.149,0.851
28095,0.29,0.71
28097,0.343,0.657
28099,0.101,0.9
28101,0.135,0.865
28103,0.155,0.845
28105,0.166,0.833
28107,0.332,0.668
28109,0.262,0.738
28111,0.223,0.776
28113,0.314,0.686
28115,0.287,0.713
28117,0.377,0.623
28119,0.242,0.758
28121,0.261,0.74
28123,0.204,0.795
28125,0.282,0.718
28127,0.354,0.645
28129,0.389,0.611
28131,0.297,0.703
28133,0.319,0.68
28135,0.265,0.735
28137,0.298,0.702
28139,0.354,0.647
28141,0.406,0.595
28143,0.256,0.744
28145,0.311,0.689
28147,0.378,0.622
28149,0.195,0.803
28151,0.386,0.614
28153,0.22,0.781
28155,0.276,0.724
28157,0.364,0.636
28159,0.124,0.875
28161,0.258,0.74
28163,0.233,0.767
29001,0.352,0.648
29003,0.494,0.506
29005,0.331,0.669
29007,0.391,0.608
29009,0.422,0.578
29011,0.415,0.585
29013,0.318,0.681
29015,0.478,0.522
29017,0.381,0.618
29019,0.261,0.739
29021,0.479,0.521
29023,0.524,0.477
29025,0.453,0.547
29027,0.46,0.54
29029,0.506,0.495
29031,0.326,0.674
29033,0.363,0.637
29035,0.595,0.406
29037,0.279,0.72
29039,0.504,0.496
29041,0.342,0.658
29043,0.296,0.704
29045,0.457,0.543
29047,0.146,0.854
29049,0.275,0.726
29051,0.379,0.621
29053,0.277,0.723
29055,0.451,0.55
29057,0.494,0.505
29059,0.475,0.525
29061,0.462,0.538
29063,0.436,0.564
29065,0.511,0.489
29067,0.504,0.495
29069,0.307,0.693
29071,0.308,0.691
29073,0.461,0.539
29075,0.449,0.55
29077,0.309,0.69
29079,0.517,0.483
29081,0.516,0.484
29083,0.392,0.607
29085,0.521,0.48
29087,0.508,0.492
29089,0.279,0.722
29091,0.651,0.349
29093,0.296,0.703
29095,0.181,0.819
29097,0.437,0.564
29099,0.337,0.663
29101,0.301,0.7
29103,0.376,0.624
29105,0.606,0.394
29107,0.183,0.818
29109,0.542,0.459
29111,0.45,0.55
29113,0.418,0.581
29115,0.4,0.6
29117,0.489,0.51
29119,0.386,0.614
29121,0.403,0.596
29123,0.298,0.702
29125,0.377,0.622
29127,0.483,0.517
29129,0.576,0.423
29131,0.463,0.537
29133,0.367,0.634
29135,0.48,0.52
29137,0.451,0.549
29139,0.3,0.699
29141,0.504,0.497
29143,0.359,0.641
29145,0.417,0.584
29147,0.446,0.555
29149,0.631,0.37
29151,0.371,0.629
29153,0.435,0.565
29155,0.388,0.611
29157,0.29,0.71
29159,0.452,0.548
29161,0.435,0.564
29163,0.573,0.427
29165,0.172,0.827
29167,0.395,0.605
29169,0.471,0.529
29171,0.427,0.573
29173,0.514,0.486
29175,0.396,0.604
29177,0.43,0.57
29179,0.405,0.595
29181,0.541,0.458
29183,0.182,0.818
29185,0.49,0.509
29186,0.309,0.691
29187,0.308,0.692
29189,0.121,0.879
29195,0.425,0.575
29197,0.362,0.638
29199,0.394,0.607
29201,0.368,0.632
29203,0.66,0.341
29205,0.446,0.555
29207,0.413,0.587
29209,0.32,0.681
29211,0.437,0.564
29213,0.346,0.654
29215,0.711,0.289
29217,0.379,0.621
29219,0.304,0.696
29221,0.391,0.609
29223,0.492,0.509
29225,0.549,0.45
29227,0.486,0.513
29229,0.745,0.255
29510,0.136,0.863
30001,0.394,0.605
30003,0.479,0.521
30005,0.555,0.444
30007,0.362,0.638
30009,0.472,0.527
30011,0.371,0.629
30013,0.473,0.527
30015,0.502,0.498
30017,0.49,0.51
30019,0.602,0.398
30021,0.564,0.435
30023,0.378,0.622
30025,0.463,0.536
30027,0.552,0.448
30029,0.402,0.598
30031,0.34,0.661
30033,0.513,0.486
30035,0.408,0.592
30037,0.483,0.517
30039,0.395,0.605
30041,0.535,0.465
30043,0.345,0.656
30045,0.513,0.488
30047,0.445,0.555
30049,0.336,0.664
30051,0.501,0.499
30053,0.41,0.59
30055,0.595,0.406
30057,0.39,0.61
30059,0.401,0.599
30061,0.494,0.506
30063,0.419,0.581
30065,0.475,0.525
30067,0.319,0.681
30069,0.485,0.516
30071,0.557,0.443
30073,0.468,0.532
30075,0.539,0.461
30077,0.331,0.67
30079,0.542,0.459
30081,0.412,0.588
30083,0.554,0.446
30085,0.593,0.407
30087,0.483,0.517
30089,0.545,0.455
30091,0.56,0.441
30093,0.355,0.646
30095,0.459,0.541
30097,0.399,0.601
30099,0.457,0.543
30101,0.481,0.519
30103,0.47,0.529
30105,0.594,0.406
30107,0.493,0.507
30109,0.545,0.454
30111,0.473,0.527
31001,0.274,0.726
31003,0.485,0.515
31005,0.396,0.604
31007,0.511,0.488
31009,0.402,0.598
31011,0.387,0.612
31013,0.511,0.488
31015,0.507,0.493
31017,0.39,0.61
31019,0.282,0.718
31021,0.219,0.781
31023,0.395,0.603
31025,0.21,0.79
31027,0.531,0.47
31029,0.403,0.596
31031,0.295,0.705
31033,0.439,0.561
31035,0.32,0.68
31037,0.371,0.628
31039,0.335,0.664
31041,0.359,0.642
31043,0.411,0.588
31045,0.437,0.563
31047,0.325,0.676
31049,0.378,0.622
31051,0.454,0.545
31053,0.312,0.688
31055,0.255,0.745
31057,0.458,0.542
31059,0.412,0.588
31061,0.334,0.666
31063,0.351,0.649
31065,0.365,0.634
31067,0.26,0.74
31069,0.445,0.556
31071,0.394,0.606
31073,0.321,0.68
31075,0.417,0.583
31077,0.335,0.666
31079,0.265,0.735
31081,0.321,0.679
31083,0.349,0.65
31085,0.384,0.616
31087,0.437,0.564
31089,0.481,0.519
31091,0.384,0.616
31093,0.285,0.714
31095,0.311,0.69
31097,0.483,0.517
31099,0.283,0.717
31101,0.373,0.628
31103,0.397,0.604
31105,0.521,0.478
31107,0.544,0.456
31109,0.266,0.734
31111,0.371,0.628
31113,0.388,0.612
31115,0.406,0.594
31117,0.383,0.618
31119,0.527,0.473
31121,0.312,0.688
31123,0.504,0.496
31125,0.333,0.666
31127,0.375,0.626
31129,0.334,0.667
31131,0.297,0.703
31133,0.429,0.57
31135,0.375,0.626
31137,0.301,0.699
31139,0.548,0.453
31141,0.314,0.686
31143,0.473,0.527
31145,0.394,0.606
31147,0.449,0.55
31149,0.43,0.571
31151,0.277,0.724
31153,0.307,0.693
31155,0.478,0.523
31157,0.501,0.5
31159,0.29,0.71
31161,0.425,0.575
31163,0.302,0.697
31165,0.503,0.497
31167,0.537,0.463
31169,0.322,0.678
31171,0.39,0.61
31173,0.395,0.605
31175,0.343,0.658
31177,0.352,0.647
31179,0.52,0.481
31181,0.326,0.675
31183,0.401,0.6
31185,0.634,0.366
32001,0.173,0.827
32003,0.113,0.887
32005,0.175,0.826
32007,0.257,0.743
32009,0.096,0.904
32011,0.226,0.773
32013,0.206,0.794
32015,0.231,0.77
32017,0.214,0.787
32019,0.156,0.844
32021,0.13,0.87
32023,0.151,0.849
32027,0.271,0.729
32029,0.092,0.908
32031,0.109,0.891
32033,0.283,0.717
32510,0.141,0.859
33001,0.244,0.756
33003,0.23,0.77
33005,0.188,0.811
33007,0.135,0.866
33009,0.097,0.904
33011,0.165,0.834
33013,0.227,0.773
33015,0.149,0.851
33017,0.252,0.748
33019,0.175,0.826
34001,0.09,0.91
34003,0.087,0.913
34005,0.086,0.913
34007,0.06,0.939
34009,0.046,0.954
34011,0.096,0.904
34013,0.134,0.865
34015,0.109,0.891
34017,0.118,0.881
34019,0.11,0.889
34021,0.081,0.919
34023,0.09,0.911
34025,0.073,0.928
34027,0.09,0.911
34029,0.123,0.876
34031,0.107,0.894
34033,0.12,0.88
34035,0.089,0.911
34037,0.075,0.925
34039,0.082,0.918
34041,0.099,0.901
35001,0.107,0.893
35003,0.129,0.871
35005,0.222,0.778
35006,0.076,0.924
35007,0.151,0.849
35009,0.251,0.749
35011,0.19,0.81
35013,0.091,0.909
35015,0.362,0.638
35017,0.224,0.777
35019,0.135,0.864
35021,0.271,0.729
35023,0.279,0.722
35025,0.251,0.749
35027,0.107,0.893
35028,0.118,0.882
35029,0.175,0.825
35031,0.078,0.923
35033,0.096,0.904
35035,0.247,0.753
35037,0.271,0.73
35039,0.163,0.837
35041,0.252,0.748
35043,0.128,0.872
35045,0.19,0.81
35047,0.081,0.919
35049,0.055,0.946
35051,0.102,0.898
35053,0.06,0.939
35055,0.102,0.898
35057,0.137,0.863
35059,0.365,0.635
35061,0.158,0.843
36001,0.07,0.93
36003,0.105,0.895
36005,0.122,0.878
36007,0.123,0.878
36009,0.052,0.949
36011,0.105,0.894
36013,0.091,0.909
36015,0.15,0.85
36017,0.108,0.891
36019,0.143,0.857
36021,0.047,0.952
36023,0.078,0.921
36025,0.144,0.856
36027,0.047,0.953
36029,0.072,0.927
36031,0.157,0.843
36033,0.17,0.83
36035,0.153,0.847
36037,0.033,0.968
36039,0.066,0.934
36041,0.119,0.882
36043,0.083,0.916
36045,0.104,0.896
36047,0.127,0.873
36049,0.125,0.875
36051,0.054,0.946
36053,0.061,0.939
36055,0.086,0.914
36057,0.161,0.839
36059,0.078,0.921
36061,0.076,0.924
36063,0.066,0.934
36065,0.074,0.927
36067,0.081,0.919
36069,0.044,0.956
36071,0.073,0.926
36073,0.093,0.906
36075,0.114,0.885
36077,0.124,0.875
36079,0.043,0.957
36081,0.113,0.887
36083,0.109,0.891
36085,0.094,0.906
36087,0.083,0.917
36089,0.151,0.85
36091,0.094,0.907
36093,0.098,0.901
36095,0.067,0.933
36097,0.09,0.909
36099,0.055,0.946
36101,0.124,0.875
36103,0.112,0.888
36105,0.097,0.902
36107,0.048,0.953
36109,0.068,0.931
36111,0.082,0.918
36113,0.148,0.853
36115,0.188,0.811
36117,0.078,0.921
36119,0.087,0.913
36121,0.033,0.968
36123,0.029,0.971
37001,0.239,0.761
37003,0.153,0.847
37005,0.287,0.714
37007,0.195,0.804
37009,0.258,0.742
37011,0.318,0.682
37013,0.158,0.842
37015,0.204,0.796
37017,0.172,0.828
37019,0.078,0.921
37021,0.076,0.923
37023,0.271,0.729
37025,0.154,0.846
37027,0.131,0.869
37029,0.237,0.763
37031,0.244,0.757
37033,0.294,0.706
37035,0.235,0.765
37037,0.095,0.905
37039,0.295,0.704
37041,0.207,0.793
37043,0.285,0.715
37045,0.277,0.724
37047,0.335,0.666
37049,0.314,0.685
37051,0.175,0.824
37053,0.309,0.691
37055,0.135,0.865
37057,0.312,0.688
37059,0.178,0.821
37061,0.255,0.746
37063,0.064,0.936
37065,0.113,0.887
37067,0.11,0.889
37069,0.129,0.872
37071,0.171,0.829
37073,0.22,0.78
37075,0.263,0.738
37077,0.157,0.843
37079,0.26,0.741
37081,0.212,0.787
37083,0.089,0.911
37085,0.16,0.84
37087,0.146,0.854
37089,0.084,0.916
37091,0.087,0.913
37093,0.148,0.852
37095,0.243,0.757
37097,0.237,0.763
37099,0.209,0.792
37101,0.167,0.833
37103,0.323,0.678
37105,0.249,0.751
37107,0.262,0.738
37109,0.203,0.797
37111,0.294,0.706
37113,0.277,0.723
37115,0.13,0.87
37117,0.244,0.755
37119,0.141,0.86
37121,0.277,0.723
37123,0.161,0.839
37125,0.185,0.815
37127,0.114,0.885
37129,0.083,0.917
37131,0.087,0.913
37133,0.237,0.763
37135,0.058,0.943
37137,0.274,0.725
37139,0.198,0.801
37141,0.227,0.772
37143,0.204,0.797
37145,0.088,0.912
37147,0.184,0.816
37149,0.238,0.762
37151,0.249,0.751
37153,0.234,0.765
37155,0.209,0.791
37157,0.343,0.657
37159,0.282,0.717
37161,0.313,0.688
37163,0.095,0.905
37165,0.344,0.657
37167,0.209,0.791
37169,0.165,0.835
37171,0.16,0.84
37173,0.226,0.775
37175,0.085,0.915
37177,0.173,0.828
37179,0.172,0.828
37181,0.21,0.79
37183,0.105,0.895
37185,0.156,0.844
37187,0.223,0.777
37189,0.144,0.856
37191,0.125,0.876
37193,0.281,0.719
37195,0.161,0.838
37197,0.18,0.82
37199,0.11,0.889
38001,0.574,0.426
38003,0.327,0.673
38005,0.601,0.399
38007,0.538,0.462
38009,0.467,0.533
38011,0.475,0.525
38013,0.489,0.511
38015,0.496,0.504
38017,0.345,0.656
38019,0.583,0.417
38021,0.455,0.544
38023,0.517,0.482
38025,0.509,0.491
38027,0.545,0.455
38029,0.475,0.524
38031,0.427,0.574
38033,0.542,0.459
38035,0.441,0.558
38037,0.535,0.465
38039,0.413,0.587
38041,0.575,0.425
38043,0.473,0.527
38045,0.378,0.622
38047,0.432,0.567
38049,0.462,0.538
38051,0.433,0.566
38053,0.514,0.485
38055,0.481,0.519
38057,0.497,0.503
38059,0.503,0.498
38061,0.486,0.514
38063,0.509,0.492
38065,0.5,0.501
38067,0.498,0.503
38069,0.509,0.492
38071,0.63,0.37
38073,0.41,0.59
38075,0.464,0.536
38077,0.518,0.482
38079,0.537,0.463
38081,0.493,0.508
38083,0.48,0.52
38085,0.493,0.506
38087,0.538,0.461
38089,0.541,0.459
38091,0.535,0.465
38093,0.331,0.668
38095,0.622,0.378
38097,0.464,0.536
38099,0.476,0.524
38101,0.46,0.539
38103,0.5,0.501
38105,0.523,0.477
39001,0.339,0.661
39003,0.303,0.696
39005,0.371,0.628
39007,0.251,0.749
39009,0.35,0.649
39011,0.373,0.627
39013,0.286,0.714
39015,0.455,0.545
39017,0.225,0.775
39019,0.46,0.54
39021,0.409,0.59
39023,0.283,0.718
39025,0.225,0.776
39027,0.44,0.56
39029,0.293,0.707
39031,0.565,0.436
39033,0.334,0.666
39035,0.178,0.822
39037,0.45,0.551
39039,0.318,0.683
39041,0.183,0.817
39043,0.191,0.809
39045,0.33,0.669
39047,0.54,0.46
39049,0.186,0.815
39051,0.393,0.607
39053,0.359,0.641
39055,0.151,0.849
39057,0.218,0.783
39059,0.4,0.6
39061,0.227,0.773
39063,0.325,0.675
39065,0.404,0.595
39067,0.401,0.598
39069,0.338,0.662
39071,0.369,0.63
39073,0.516,0.484
39075,0.271,0.728
39077,0.459,0.541
39079,0.554,0.446
39081,0.37,0.629
39083,0.303,0.696
39085,0.21,0.79
39087,0.371,0.629
39089,0.334,0.666
39091,0.567,0.434
39093,0.285,0.715
39095,0.245,0.755
39097,0.291,0.709
39099,0.244,0.756
39101,0.379,0.621
39103,0.27,0.73
39105,0.391,0.609
39107,0.452,0.547
39109,0.337,0.663
39111,0.323,0.677
39113,0.171,0.829
39115,0.409,0.591
39117,0.228,0.772
39119,0.402,0.598
39121,0.424,0.576
39123,0.171,0.828
39125,0.396,0.604
39127,0.501,0.499
39129,0.246,0.754
39131,0.434,0.567
39133,0.232,0.768
39135,0.377,0.623
39137,0.412,0.587
39139,0.359,0.64
39141,0.385,0.615
39143,0.322,0.678
39145,0.459,0.543
39147,0.557,0.443
39149,0.517,0.483
39151,0.277,0.723
39153,0.229,0.772
39155,0.234,0.765
39157,0.446,0.554
39159,0.292,0.708
39161,0.376,0.624
39163,0.473,0.527
39165,0.191,0.809
39167,0.335,0.665
39169,0.29,0.711
39171,0.367,0.633
39173,0.176,0.824
39175,0.439,0.561
40001,0.431,0.569
40003,0.487,0.512
40005,0.371,0.629
40007,0.392,0.607
40009,0.54,0.46
40011,0.354,0.646
40013,0.306,0.694
40015,0.318,0.683
40017,0.219,0.781
40019,0.435,0.564
40021,0.432,0.567
40023,0.296,0.705
40025,0.382,0.618
40027,0.226,0.774
40029,0.3,0.701
40031,0.36,0.639
40033,0.279,0.721
40035,0.596,0.404
40037,0.373,0.627
40039,0.693,0.307
40041,0.577,0.423
40043,0.537,0.463
40045,0.487,0.513
40047,0.463,0.538
40049,0.319,0.682
40051,0.33,0.671
40053,0.486,0.512
40055,0.411,0.59
40057,0.423,0.577
40059,0.465,0.535
40061,0.439,0.561
40063,0.272,0.727
40065,0.296,0.702
40067,0.355,0.645
40069,0.382,0.618
40071,0.354,0.644
40073,0.189,0.811
40075,0.346,0.654
40077,0.479,0.522
40079,0.45,0.55
40081,0.442,0.559
40083,0.171,0.829
40085,0.371,0.63
40087,0.259,0.742
40089,0.389,0.61
40091,0.407,0.594
40093,0.453,0.546
40095,0.318,0.681
40097,0.561,0.438
40099,0.443,0.558
40101,0.413,0.586
40103,0.254,0.746
40105,0.433,0.567
40107,0.388,0.612
40109,0.257,0.743
40111,0.334,0.666
40113,0.41,0.59
40115,0.513,0.488
40117,0.422,0.578
40119,0.28,0.721
40121,0.382,0.618
40123,0.164,0.836
40125,0.372,0.628
40127,0.351,0.649
40129,0.549,0.451
40131,0.366,0.634
40133,0.354,0.647
40135,0.425,0.574
40137,0.339,0.661
40139,0.345,0.655
40141,0.294,0.705
40143,0.276,0.725
40145,0.319,0.681
40147,0.463,0.537
40149,0.523,0.477
40151,0.447,0.553
40153,0.523,0.476
41001,0.419,0.581
41003,0.073,0.926
41005,0.111,0.889
41007,0.13,0.87
41009,0.221,0.778
41011,0.325,0.676
41013,0.121,0.879
41015,0.183,0.817
41017,0.085,0.916
41019,0.25,0.75
41021,0.06,0.939
41023,0.208,0.791
41025,0.245,0.755
41027,0.228,0.772
41029,0.196,0.803
41031,0.092,0.907
41033,0.156,0.844
41035,0.19,0.81
41037,0.194,0.805
41039,0.144,0.856
41041,0.06,0.941
41043,0.178,0.823
41045,0.49,0.511
41047,0.095,0.906
41049,0.113,0.887
41051,0.083,0.916
41053,0.113,0.887
41055,0.068,0.931
41057,0.257,0.744
41059,0.134,0.865
41061,0.208,0.792
41063,0.27,0.73
41065,0.122,0.878
41067,0.074,0.925
41069,0.142,0.858
41071,0.128,0.872
42001,0.156,0.844
42003,0.074,0.926
42005,0.26,0.741
42007,0.138,0.862
42009,0.225,0.775
42011,0.108,0.893
42013,0.256,0.744
42015,0.11,0.891
42017,0.064,0.936
42019,0.159,0.841
42021,0.241,0.758
42023,0.209,0.791
42025,0.09,0.909
42027,0.106,0.893
42029,0.066,0.933
42031,0.239,0.76
42033,0.282,0.718
42035,0.115,0.886
42037,0.116,0.884
42039,0.176,0.824
42041,0.246,0.754
42043,0.313,0.686
42045,0.064,0.937
42047,0.155,0.845
42049,0.098,0.902
42051,0.261,0.739
42053,0.182,0.818
42055,0.145,0.855
42057,0.211,0.789
42059,0.401,0.599
42061,0.285,0.715
42063,0.128,0.872
42065,0.271,0.728
42067,0.226,0.774
42069,0.052,0.949
42071,0.104,0.896
42073,0.197,0.804
42075,0.096,0.903
42077,0.071,0.929
42079,0.085,0.915
42081,0.179,0.821
42083,0.046,0.954
42085,0.166,0.835
42087,0.262,0.738
42089,0.118,0.883
42091,0.079,0.921
42093,0.143,0.857
42095,0.061,0.94
42097,0.155,0.846
42099,0.152,0.848
42101,0.086,0.914
42103,0.059,0.942
42105,0.133,0.867
42107,0.116,0.884
42109,0.202,0.798
42111,0.269,0.731
42113,0.098,0.901
42115,0.113,0.887
42117,0.253,0.748
42119,0.213,0.787
42121,0.134,0.866
42123,0.142,0.858
42125,0.117,0.884
42127,0.093,0.908
42129,0.156,0.845
42131,0.092,0.908
42133,0.133,0.867
44001,0.03,0.97
44003,0.069,0.93
44005,0.056,0.944
44007,0.086,0.913
44009,0.068,0.933
45001,0.462,0.537
45003,0.302,0.698
45005,0.395,0.604
45007,0.272,0.728
45009,0.251,0.75
45011,0.271,0.728
45013,0.12,0.88
45015,0.231,0.768
45017,0.236,0.765
45019,0.157,0.843
45021,0.292,0.707
45023,0.271,0.73
45025,0.344,0.655
45027,0.358,0.643
45029,0.259,0.741
45031,0.35,0.651
45033,0.4,0.6
45035,0.265,0.736
45037,0.266,0.734
45039,0.124,0.876
45041,0.327,0.673
45043,0.133,0.866
45045,0.281,0.719
45047,0.387,0.614
45049,0.311,0.69
45051,0.219,0.781
45053,0.24,0.76
45055,0.195,0.805
45057,0.183,0.818
45059,0.356,0.644
45061,0.337,0.663
45063,0.211,0.79
45065,0.293,0.707
45067,0.498,0.503
45069,0.335,0.664
45071,0.268,0.731
45073,0.306,0.693
45075,0.302,0.698
45077,0.271,0.729
45079,0.145,0.855
45081,0.265,0.735
45083,0.277,0.723
45085,0.336,0.665
45087,0.234,0.767
45089,0.211,0.789
45091,0.193,0.806
46003,0.548,0.452
46005,0.485,0.515
46007,0.316,0.683
46009,0.511,0.488
46011,0.427,0.574
46013,0.496,0.504
46015,0.406,0.594
46017,0.377,0.624
46019,0.358,0.642
46021,0.444,0.555
46023,0.52,0.48
46025,0.53,0.47
46027,0.385,0.616
46029,0.579,0.422
46031,0.468,0.532
46033,0.376,0.625
46035,0.626,0.374
46037,0.571,0.429
46039,0.522,0.478
46041,0.267,0.734
46043,0.566,0.435
46045,0.455,0.545
46047,0.386,0.614
46049,0.43,0.57
46051,0.62,0.38
46053,0.437,0.563
46055,0.319,0.681
46057,0.518,0.482
46059,0.4,0.601
46061,0.561,0.438
46063,0.318,0.681
46065,0.227,0.774
46067,0.491,0.509
46069,0.337,0.664
46071,0.317,0.682
46073,0.491,0.51
46075,0.246,0.755
46077,0.475,0.525
46079,0.437,0.563
46081,0.367,0.633
46083,0.365,0.635
46085,0.295,0.706
46087,0.411,0.588
46089,0.456,0.543
46091,0.525,0.474
46093,0.362,0.639
46095,0.255,0.745
46097,0.499,0.502
46099,0.38,0.62
46101,0.426,0.574
46102,0.364,0.636
46103,0.364,0.636
46105,0.398,0.603
46107,0.345,0.656
46109,0.58,0.42
46111,0.569,0.431
46115,0.467,0.533
46117,0.208,0.791
46119,0.243,0.756
46121,0.275,0.725
46123,0.346,0.654
46125,0.375,0.626
46127,0.379,0.622
46129,0.416,0.583
46135,0.481,0.519
46137,0.33,0.669
47001,0.305,0.695
47003,0.503,0.497
47005,0.484,0.516
47007,0.335,0.666
47009,0.255,0.745
47011,0.345,0.655
47013,0.338,0.663
47015,0.536,0.464
47017,0.43,0.571
47019,0.297,0.702
47021,0.24,0.76
47023,0.298,0.702
47025,0.368,0.633
47027,0.468,0.532
47029,0.397,0.602
47031,0.429,0.571
47033,0.341,0.658
47035,0.39,0.609
47037,0.143,0.858
47039,0.514,0.486
47041,0.54,0.46
47043,0.209,0.791
47045,0.465,0.535
47047,0.112,0.887
47049,0.402,0.599
47051,0.388,0.612
47053,0.379,0.621
47055,0.321,0.678
47057,0.389,0.611
47059,0.336,0.664
47061,0.458,0.542
47063,0.391,0.609
47065,0.361,0.64
47067,0.45,0.55
47069,0.306,0.695
47071,0.389,0.612
47073,0.396,0.603
47075,0.281,0.72
47077,0.39,0.609
47079,0.446,0.554
47081,0.202,0.798
47083,0.273,0.727
47085,0.372,0.627
47087,0.515,0.485
47089,0.392,0.607
47091,0.327,0.673
47093,0.212,0.788
47095,0.442,0.558
47097,0.349,0.65
47099,0.359,0.642
47101,0.38,0.621
47103,0.419,0.581
47105,0.208,0.792
47107,0.319,0.682
47109,0.327,0.674
47111,0.446,0.553
47113,0.285,0.715
47115,0.372,0.628
47117,0.487,0.513
47119,0.379,0.622
47121,0.334,0.667
47123,0.373,0.626
47125,0.349,0.651
47127,0.45,0.551
47129,0.27,0.731
47131,0.429,0.571
47133,0.479,0.521
47135,0.465,0.535
47137,0.452,0.549
47139,0.308,0.692
47141,0.531,0.468
47143,0.363,0.637
47145,0.321,0.679
47147,0.337,0.663
47149,0.275,0.725
47151,0.419,0.581
47153,0.372,0.628
47155,0.261,0.739
47157,0.164,0.837
47159,0.381,0.62
47161,0.266,0.735
47163,0.33,0.67
47165,0.313,0.686
47167,0.329,0.671
47169,0.416,0.585
47171,0.198,0.803
47173,0.398,0.602
47175,0.439,0.562
47177,0.436,0.564
47179,0.301,0.698
47181,0.44,0.561
47183,0.456,0.543
47185,0.552,0.448
47187,0.183,0.816
47189,0.239,0.76
48001,0.371,0.629
48003,0.201,0.799
48005,0.264,0.736
48007,0.181,0.82
48009,0.233,0.767
48011,0.262,0.738
48013,0.043,0.958
48015,0.084,0.916
48017,0.184,0.815
48019,0.161,0.839
48021,0.111,0.89
48023,0.275,0.724
48025,0.056,0.943
